CustomerID,Total_Spent,Order_Frequency,Avg_Order_Value,Total_Items
62086,2686.93,1,2686.93,8
30964,2595.36,2,1297.68,12
92205,2331.86,2,1165.93,12
96238,2324.85,1,2324.85,6
12528,2324.06,1,2324.06,6
77511,2137.2,1,2137.2,7
34402,2134.21,2,1067.11,13
46807,2085.17,1,2085.17,8
79314,2063.0,1,2063.0,5
38871,2051.78,1,2051.78,8
57897,2040.44,1,2040.44,7
19078,1954.56,1,1954.56,7
36213,1913.3,1,1913.3,9
56769,1911.89,2,955.95,14
87359,1871.41,2,935.7,11
34131,1859.91,1,1859.91,7
45594,1797.39,2,898.69,8
33258,1767.61,3,589.2,13
78792,1758.31,1,1758.31,9
49337,1748.4,1,1748.4,5
82983,1739.04,1,1739.04,9
18188,1730.67,1,1730.67,5
67473,1683.71,3,561.24,17
39850,1672.3,1,1672.3,6
30204,1657.9,1,1657.9,6
63598,1650.48,1,1650.48,7
14463,1641.54,1,1641.54,6
87363,1612.06,1,1612.06,7
26978,1592.87,1,1592.87,6
26698,1563.03,1,1563.03,7
88282,1554.65,2,777.33,11
94563,1540.32,1,1540.32,8
93992,1538.33,1,1538.33,6
42089,1532.73,1,1532.73,8
21646,1530.4,1,1530.4,5
26804,1527.15,1,1527.15,9
28773,1518.46,1,1518.46,6
62631,1516.64,1,1516.64,9
76474,1503.54,1,1503.54,9
21495,1501.75,2,750.87,12
77197,1485.7,2,742.85,13
63161,1461.16,1,1461.16,7
88811,1454.46,1,1454.46,9
79565,1443.21,1,1443.21,5
21465,1442.04,2,721.02,11
98636,1437.13,1,1437.13,8
77408,1429.73,1,1429.73,6
36281,1427.78,1,1427.78,6
70048,1425.54,3,475.18,19
38286,1421.28,1,1421.28,5
17644,1413.62,1,1413.62,5
47888,1410.51,1,1410.51,6
91670,1410.23,1,1410.23,9
40190,1408.33,1,1408.33,7
50671,1404.29,1,1404.29,3
71333,1401.25,1,1401.25,6
40042,1397.02,1,1397.02,6
68410,1384.69,1,1384.69,7
55612,1380.56,1,1380.56,9
84255,1379.46,2,689.73,9
10714,1378.39,1,1378.39,7
92266,1374.19,1,1374.19,6
71200,1371.14,1,1371.14,7
47282,1370.84,1,1370.84,6
10172,1345.71,1,1345.71,5
50334,1343.41,2,671.7,13
67280,1332.71,1,1332.71,6
13038,1322.93,1,1322.93,5
91638,1316.8,1,1316.8,8
15506,1316.14,1,1316.14,5
53911,1314.57,1,1314.57,8
83380,1303.74,1,1303.74,8
13728,1303.38,1,1303.38,5
16588,1301.15,1,1301.15,5
38672,1299.79,1,1299.79,5
70999,1294.91,1,1294.91,8
25353,1292.95,2,646.48,16
31783,1290.28,1,1290.28,8
96463,1289.18,1,1289.18,9
22266,1284.33,2,642.16,10
95739,1278.06,2,639.03,9
25241,1275.07,1,1275.07,5
50005,1268.6,1,1268.6,7
33018,1263.57,1,1263.57,6
80688,1260.95,1,1260.95,6
39698,1260.67,1,1260.67,7
29230,1258.76,2,629.38,8
54124,1241.19,1,1241.19,4
72953,1237.9,1,1237.9,7
54637,1234.1,1,1234.1,6
48507,1231.25,1,1231.25,5
76775,1230.4,1,1230.4,4
43376,1230.05,1,1230.05,7
26198,1228.84,1,1228.84,5
50549,1227.72,1,1227.72,5
88465,1226.65,1,1226.65,3
63517,1218.18,1,1218.18,8
47335,1217.42,1,1217.42,6
82416,1213.87,1,1213.87,4
79509,1205.57,1,1205.57,5
70266,1201.98,1,1201.98,8
56019,1200.56,1,1200.56,7
10685,1192.49,1,1192.49,5
65813,1182.14,1,1182.14,5
39293,1180.3,1,1180.3,5
35233,1178.09,2,589.04,14
63292,1176.21,2,588.1,8
81153,1172.16,3,390.72,12
31096,1171.34,1,1171.34,7
31150,1171.07,1,1171.07,3
41874,1169.0,1,1169.0,5
59704,1168.6,1,1168.6,7
27304,1166.16,1,1166.16,6
74427,1164.37,1,1164.37,5
43894,1163.8,2,581.9,7
42559,1159.26,1,1159.26,4
77012,1157.4,1,1157.4,6
95155,1156.89,1,1156.89,6
73627,1156.03,1,1156.03,7
33923,1154.89,1,1154.89,4
91859,1151.09,1,1151.09,4
70584,1148.71,1,1148.71,6
26682,1145.58,1,1145.58,5
57544,1143.21,1,1143.21,8
84353,1142.53,1,1142.53,7
42064,1139.75,1,1139.75,7
31666,1134.68,1,1134.68,9
30093,1124.55,1,1124.55,7
48546,1122.24,1,1122.24,5
36197,1120.45,2,560.23,10
96975,1120.3,1,1120.3,8
82201,1119.92,1,1119.92,4
29312,1119.46,1,1119.46,6
14125,1119.33,2,559.67,10
76335,1118.59,1,1118.59,5
63671,1116.95,1,1116.95,5
31200,1116.82,1,1116.82,6
52508,1115.5,1,1115.5,9
90038,1111.22,1,1111.22,7
62059,1108.29,1,1108.29,6
37161,1103.05,1,1103.05,9
59665,1102.9,2,551.45,10
78808,1099.64,1,1099.64,4
55325,1097.72,1,1097.72,9
82509,1095.52,1,1095.52,7
14920,1094.09,1,1094.09,5
68112,1092.66,1,1092.66,4
14084,1091.43,2,545.71,8
89899,1088.83,2,544.42,5
31145,1086.07,1,1086.07,9
77359,1085.6,1,1085.6,5
23916,1083.46,1,1083.46,8
92239,1082.86,1,1082.86,10
91139,1081.97,1,1081.97,8
30053,1080.23,1,1080.23,5
12814,1078.91,1,1078.91,6
13608,1077.55,1,1077.55,6
89296,1076.03,1,1076.03,5
40483,1074.98,1,1074.98,6
47069,1074.67,1,1074.67,6
35525,1072.71,1,1072.71,7
37908,1072.15,1,1072.15,6
64492,1071.6,1,1071.6,5
78264,1070.41,2,535.2,7
46302,1070.15,1,1070.15,8
28454,1069.28,1,1069.28,6
62129,1066.59,1,1066.59,4
40100,1063.25,2,531.62,10
33338,1062.78,2,531.39,9
70875,1061.25,1,1061.25,5
97600,1060.35,1,1060.35,6
71701,1059.02,1,1059.02,5
37402,1057.96,1,1057.96,7
76612,1051.56,2,525.78,6
57661,1049.66,1,1049.66,7
70386,1049.6,1,1049.6,6
14408,1049.53,1,1049.53,6
10525,1048.03,1,1048.03,4
27155,1046.47,2,523.24,9
47483,1043.39,1,1043.39,3
23133,1039.92,1,1039.92,6
94119,1031.92,1,1031.92,7
46126,1030.92,2,515.46,11
79031,1029.83,1,1029.83,6
42714,1029.65,1,1029.65,6
77798,1024.62,1,1024.62,5
78422,1024.15,1,1024.15,5
82090,1022.7,1,1022.7,7
14294,1019.43,2,509.71,11
25554,1017.19,2,508.59,7
41953,1016.27,1,1016.27,7
63406,1013.4,2,506.7,11
59474,1012.93,1,1012.93,4
79562,1012.22,1,1012.22,7
48554,1011.62,1,1011.62,7
98996,1010.19,1,1010.19,4
68866,1008.64,1,1008.64,7
34882,1007.81,1,1007.81,5
23589,1004.26,1,1004.26,5
33735,1003.71,1,1003.71,7
99893,1002.11,1,1002.11,3
50494,1001.26,1,1001.26,7
83619,998.84,1,998.84,8
78241,996.62,1,996.62,6
61299,995.91,1,995.91,8
16586,994.92,1,994.92,5
91996,994.48,1,994.48,6
24614,993.87,2,496.94,9
85401,989.64,1,989.64,8
43386,988.24,1,988.24,8
74934,986.93,1,986.93,4
29093,986.4,1,986.4,5
45595,986.23,2,493.11,11
89890,983.17,1,983.17,6
63726,982.58,1,982.58,9
16942,981.76,1,981.76,5
96997,980.67,1,980.67,6
68803,980.24,1,980.24,3
60479,977.67,1,977.67,7
37385,976.65,1,976.65,4
62710,974.73,1,974.73,4
96842,974.5,1,974.5,6
86700,974.36,1,974.36,10
11736,973.59,1,973.59,9
67248,971.54,2,485.77,9
49645,969.27,1,969.27,6
69107,968.85,1,968.85,7
16782,967.68,2,483.84,8
92400,967.51,1,967.51,4
89023,967.05,2,483.52,9
94605,966.18,1,966.18,5
95895,961.93,1,961.93,4
11731,960.31,1,960.31,6
32193,958.61,1,958.61,5
46104,958.04,2,479.02,6
25454,956.16,2,478.08,6
22998,955.56,2,477.78,6
14237,955.05,1,955.05,4
11690,954.32,1,954.32,6
61000,952.02,1,952.02,7
57282,949.54,1,949.54,4
33592,948.16,1,948.16,8
71056,947.74,2,473.87,12
85123,944.49,1,944.49,10
91224,943.67,1,943.67,6
92503,942.94,1,942.94,4
64575,940.69,1,940.69,5
86234,940.4,2,470.2,6
32666,938.89,2,469.44,12
32558,937.67,1,937.67,5
76098,933.52,1,933.52,3
28348,933.26,1,933.26,7
96545,932.57,2,466.29,13
21409,931.87,1,931.87,4
10253,930.29,1,930.29,5
36377,930.13,1,930.13,3
88454,929.63,2,464.82,9
33076,929.04,1,929.04,4
27888,926.52,1,926.52,6
83502,922.49,1,922.49,9
52410,920.58,1,920.58,5
19486,920.03,1,920.03,7
50626,919.0,2,459.5,14
17877,916.14,1,916.14,6
10772,914.43,1,914.43,6
