CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
10003,181,1,653.01,3,1,5,315
10019,83,1,347.61,4,1,4,414
10028,47,1,423.91,5,1,5,515
10040,344,1,216.82,1,1,3,113
10041,158,1,339.22,3,1,4,314
10078,278,1,261.07,2,1,4,214
10118,238,1,135.11,2,1,3,213
10122,325,1,97.99,1,1,2,112
10126,33,1,369.82,5,1,4,514
10163,94,1,20.61,4,1,1,411
10166,248,1,293.67,2,1,4,214
10169,175,1,795.88,3,1,5,315
10172,341,1,1345.71,1,1,5,115
10173,261,1,144.45,2,1,3,213
10179,136,1,51.92,4,1,1,411
10193,28,1,334.73,5,1,4,514
10199,76,1,89.22,4,1,2,412
10203,298,1,67.13,1,1,1,111
10207,28,1,392.53,5,1,5,515
10212,292,1,40.56,1,1,1,111
10215,358,1,38.77,1,1,1,111
10219,319,1,137.49,1,1,3,113
10224,76,1,289.01,4,1,4,414
10233,342,1,377.92,1,1,4,114
10234,215,1,342.3,3,1,4,314
10241,316,1,220.21,1,1,3,113
10250,40,1,39.69,5,1,1,511
10253,27,1,930.29,5,1,5,515
10263,183,1,88.32,3,1,2,312
10283,58,1,186.12,5,1,3,513
10292,224,1,73.66,2,1,1,211
10310,329,1,234.9,1,1,4,114
10311,184,1,31.74,3,1,1,311
10312,311,1,182.02,1,1,3,113
10330,35,2,755.12,5,5,5,555
10338,84,1,38.28,4,1,1,411
10347,347,1,167.14,1,1,3,113
10372,286,1,141.25,2,1,3,213
10387,258,2,167.0,2,5,3,253
10395,93,1,283.42,4,1,4,414
10398,318,1,147.07,1,1,3,113
10406,57,1,588.5,5,1,5,515
10408,241,1,403.84,2,1,5,215
10432,16,1,194.18,5,1,3,513
10449,127,1,71.01,4,1,1,411
10468,1,1,183.07,5,1,3,513
10474,145,1,169.15,3,1,3,313
10482,144,1,330.7,3,1,4,314
10524,185,1,182.84,3,1,3,313
10525,78,1,1048.03,4,1,5,415
10533,237,1,173.93,2,1,3,213
10536,167,1,119.66,3,1,2,312
10545,360,1,239.06,1,1,4,114
10552,329,1,176.64,1,1,3,113
10556,265,1,155.11,2,1,3,213
10587,357,1,216.5,1,1,3,113
10624,286,1,304.27,2,1,4,214
10678,5,1,183.42,5,1,3,513
10680,30,1,800.9,5,1,5,515
10685,77,1,1192.49,4,1,5,415
10691,207,1,395.35,3,1,5,315
10696,337,1,438.79,1,1,5,115
10701,295,1,243.88,1,1,4,114
10702,139,1,226.95,4,1,4,414
10714,165,1,1378.39,3,1,5,315
10728,168,1,326.1,3,1,4,314
10730,143,1,106.19,3,1,2,312
10743,204,1,175.41,3,1,3,313
10770,140,1,155.27,4,1,3,413
10771,311,1,429.8,1,1,5,115
10772,333,1,914.43,1,1,5,115
10778,129,1,347.78,4,1,4,414
10781,262,1,150.47,2,1,3,213
10786,89,1,51.48,4,1,1,411
10788,101,1,37.15,4,1,1,411
10796,173,1,182.28,3,1,3,313
10810,199,1,405.51,3,1,5,315
10822,1,1,44.98,5,1,1,511
10829,10,1,376.08,5,1,4,514
10839,211,1,37.73,3,1,1,311
10842,218,1,60.46,2,1,1,211
10848,317,1,362.65,1,1,4,114
10865,10,1,84.65,5,1,2,512
10903,207,1,25.17,3,1,1,311
10907,192,1,76.03,3,1,2,312
10912,111,1,172.15,4,1,3,413
10913,232,1,228.54,2,1,4,214
10924,40,1,255.18,5,1,4,514
10930,344,1,515.04,1,1,5,115
10938,244,1,226.67,2,1,4,214
10950,281,1,87.04,2,1,2,212
10952,49,1,42.07,5,1,1,511
10953,166,1,506.88,3,1,5,315
10967,206,1,255.19,3,1,4,314
10978,237,1,168.57,2,1,3,213
11018,287,1,109.97,2,1,2,212
11033,206,1,222.68,3,1,3,313
11073,345,1,101.77,1,1,2,112
11086,156,1,113.75,3,1,2,312
11087,197,1,71.82,3,1,1,311
11099,55,1,132.43,5,1,2,512
11104,211,1,134.33,3,1,3,313
11123,326,1,159.65,1,1,3,113
11127,241,1,220.37,2,1,3,213
11129,347,1,41.44,1,1,1,111
11152,17,2,267.72,5,5,4,554
11154,170,1,364.55,3,1,4,314
11159,320,1,190.75,1,1,3,113
11162,117,1,248.98,4,1,4,414
11168,255,1,821.21,2,1,5,215
11175,282,1,281.7,2,1,4,214
11187,175,1,261.3,3,1,4,314
11193,351,1,476.86,1,1,5,115
11196,43,1,398.37,5,1,5,515
11200,16,1,41.12,5,1,1,511
11214,64,1,30.09,5,1,1,511
11220,307,1,154.34,1,1,3,113
11221,96,1,77.12,4,1,2,412
11231,95,1,140.1,4,1,3,413
11232,70,2,450.34,5,5,5,555
11258,226,1,497.44,2,1,5,215
11259,203,1,147.01,3,1,3,313
11265,37,1,319.55,5,1,4,514
11280,128,1,226.88,4,1,4,414
11283,183,1,571.66,3,1,5,315
11289,60,1,260.35,5,1,4,514
11290,87,1,91.89,4,1,2,412
11291,119,1,48.82,4,1,1,411
11295,294,1,41.47,1,1,1,111
11297,173,1,129.33,3,1,2,312
11320,138,1,61.0,4,1,1,411
11333,243,1,223.31,2,1,3,213
11342,272,1,41.55,2,1,1,211
11351,163,1,57.13,3,1,1,311
11355,230,1,83.24,2,1,2,212
11357,50,1,772.66,5,1,5,515
11434,110,1,179.23,4,1,3,413
11453,21,1,534.44,5,1,5,515
11464,215,1,109.66,3,1,2,312
11466,19,1,613.36,5,1,5,515
11469,159,1,54.11,3,1,1,311
11479,203,1,282.22,3,1,4,314
11489,279,1,43.27,2,1,1,211
11490,9,1,52.99,5,1,1,511
11505,289,1,665.47,2,1,5,215
11512,276,1,274.37,2,1,4,214
11537,292,1,51.36,1,1,1,111
11545,347,1,170.68,1,1,3,113
11561,96,1,130.99,4,1,2,412
11564,285,1,433.97,2,1,5,215
11568,221,1,118.3,2,1,2,212
11573,299,1,270.45,1,1,4,114
11583,338,1,151.0,1,1,3,113
11603,276,1,143.39,2,1,3,213
11605,362,1,329.74,1,1,4,114
11607,287,1,133.45,2,1,2,212
11611,262,1,52.65,2,1,1,211
11620,35,1,318.57,5,1,4,514
11627,362,1,105.15,1,1,2,112
11629,113,1,307.74,4,1,4,414
11636,246,1,184.27,2,1,3,213
11638,90,1,40.08,4,1,1,411
11639,152,1,301.74,3,1,4,314
11655,344,1,128.06,1,1,2,112
11662,123,1,277.38,4,1,4,414
11668,264,1,98.55,2,1,2,212
11690,279,1,954.32,2,1,5,215
11701,234,1,451.59,2,1,5,215
11712,38,1,738.31,5,1,5,515
11731,128,1,960.31,4,1,5,415
11733,115,1,145.37,4,1,3,413
11736,266,1,973.59,2,1,5,215
11751,19,1,147.91,5,1,3,513
11752,9,1,46.6,5,1,1,511
11757,119,1,268.04,4,1,4,414
11780,54,1,650.36,5,1,5,515
11788,116,1,26.42,4,1,1,411
11822,211,1,150.27,3,1,3,313
11823,161,1,94.39,3,1,2,312
11830,36,1,273.17,5,1,4,514
11859,87,1,274.07,4,1,4,414
11869,336,1,36.92,1,1,1,111
11877,274,1,171.43,2,1,3,213
11914,282,1,32.81,2,1,1,211
11920,223,1,444.0,2,1,5,215
11925,236,1,177.34,2,1,3,213
11937,37,1,93.42,5,1,2,512
11940,289,1,125.46,2,1,2,212
11942,302,1,586.92,1,1,5,115
11953,98,2,170.88,4,5,3,453
11955,228,1,52.37,2,1,1,211
11963,229,1,81.09,2,1,2,212
11978,183,1,172.81,3,1,3,313
12026,267,1,115.18,2,1,2,212
12030,246,1,274.03,2,1,4,214
12050,22,1,158.48,5,1,3,513
12056,189,1,46.49,3,1,1,311
12063,290,2,478.15,2,5,5,255
12074,338,1,222.39,1,1,3,113
12075,219,2,216.15,2,5,3,253
12079,155,1,508.31,3,1,5,315
12082,280,1,162.02,2,1,3,213
12084,133,1,49.92,4,1,1,411
12098,4,2,354.12,5,5,4,554
12101,275,1,236.82,2,1,4,214
12112,357,1,69.3,1,1,1,111
12114,73,1,240.5,4,1,4,414
12121,308,1,75.63,1,1,2,112
12123,98,1,491.8,4,1,5,415
12135,52,1,103.8,5,1,2,512
12142,104,1,93.83,4,1,2,412
12148,227,1,225.38,2,1,4,214
12170,295,1,196.46,1,1,3,113
12188,193,1,257.62,3,1,4,314
12197,189,1,53.29,3,1,1,311
12204,65,1,219.19,5,1,3,513
12208,158,1,52.18,3,1,1,311
12236,121,1,10.53,4,1,1,411
12243,120,1,42.83,4,1,1,411
12245,363,1,369.99,1,1,4,114
12277,259,1,176.32,2,1,3,213
12287,18,1,135.8,5,1,3,513
12293,120,1,300.75,4,1,4,414
12299,57,1,176.03,5,1,3,513
12306,54,1,95.4,5,1,2,512
12311,2,1,375.94,5,1,4,514
12317,222,1,81.23,2,1,2,212
